Player,#,Pos,HT,WT,Age,Exp,College,Team,Division,Popularity
"
Brett Kern",6,P,6-2,214,36,15,Toledo,Titans,,
"
Mason Kinsey",12,WR,5-10,198,23,1,Berry College,Titans,,
"
Harold Landry III",58,OLB,6-2,252,25,5,Boston College,Titans,,
"
Justin Lawler",,OLB,6-4,265,27,4,SMU,Titans,,
"
Corey Levin",61,C/G,6-4,307,27,4,Tennessee-Chattanooga,Titans,,
"
Taylor Lewan",77,T,6-7,309,30,9,Michigan,Titans,,
"
David Long, Jr.",51,LB,5-11,227,25,4,West Virginia,Titans,,
"
Greg Mabin",30,CB,6-2,200,27,6,Iowa,Titans,,
"
Josh Malone",,WR,6-3,205,26,3,Tennessee,Titans,,
"
Racey McMath",81,WR,6-3,217,22,2,LSU,Titans,,
"
Elijah Molden",24,CB,5-10,192,23,2,Washington,Titans,,
"
A.J. Moore",,S,5-11,202,26,5,Mississippi,Titans,,
"
Briley Moore",82,TE,6-4,240,24,2,Kansas State,Titans,,
"
Daniel Munyer",52,C,6-1,305,30,5,Colorado,Titans,,
"
Larrell Murchison",91,DL,6-2,297,24,3,North Carolina State,Titans,,
"
MyCole Pruitt",85,TE,6-2,245,30,7,Southern Illinois,Titans,,
"
David Quessenberry",72,OL,6-5,310,31,4,San Jose State,Titans,,
"
Dillon Radunz",75,OL,6-6,301,24,2,North Dakota State,Titans,,
"
Monty Rice",56,LB,6-0,233,23,2,Georgia,Titans,,
"
Derick Roberson",50,OLB,6-3,250,26,4,Sam Houston State,Titans,,
"
Chester Rogers",80,WR,6-0,184,28,6,Grambling State,Titans,,
"
Jordan Roos",70,G,6-3,302,28,3,Purdue,Titans,,
"
Jeffery Simmons",98,DT,6-4,305,24,4,Mississippi State,Titans,,
"
Tuzar Skipper",59,OLB,6-3,246,26,2,Toledo,Titans,,
"
Buster Skrine",38,CB,5-9,187,32,12,Tennessee-Chattanooga,Titans,,
"
Kevin Strong",97,DE,6-4,295,25,4,Texas-San Antonio,Titans,,
"
Geoff Swaim",87,TE,6-4,260,28,8,Texas,Titans,,
"
Ryan Tannehill",17,QB,6-4,217,33,11,Texas A&M,Titans,,
"
Teair Tart",93,DT,6-2,304,25,3,Florida International,Titans,,
"
Rashad Weaver",99,OLB,6-4,259,24,2,Pittsburgh,Titans,,
"
Nick Westbrook-Ikhine",15,WR,6-2,211,25,3,Indiana,Titans,,
"
Jordan Wilkins",33,RB,6-1,212,27,5,Mississippi,Titans,,
"
Chris Williamson",,CB,6-0,205,24,1,Minnesota,Titans,,
"
Robert Woods",,WR,6-0,195,30,10,USC,Titans,,
"
Logan Woodside",5,QB,6-1,213,27,3,Toledo,Titans,,
"
Mo Alie-Cox",81,TE,6-5,267,28,5,Virginia Commonwealth,Colts,,
"
Ben Banogu",52,DE,6-3,252,26,4,Texas Christian,Colts,,
"
Julian Blackmon",32,S,6-0,187,23,3,Utah,Colts,,
"
Rodrigo Blankenship",3,K,6-1,184,25,3,Georgia,Colts,,
"
Tony Brown",,CB,6-0,198,26,4,Alabama,Colts,,
"
DeForest Buckner",99,DT,6-7,295,28,7,Oregon,Colts,,
"
Parris Campbell",1,WR,6-0,208,24,4,Ohio State,Colts,,
"
Anthony Chesley",47,CB,6-0,190,26,2,Coastal Carolina,Colts,,
"
Kameron Cline",92,DE,6-4,283,24,1,South Dakota,Colts,,
"
Shon Coleman",76,T,6-6,310,30,5,Auburn,Colts,,
"
Keke Coutee",15,WR,5-11,180,25,4,Texas Tech,Colts,,
"
Ashton Dulin",16,WR,6-1,215,24,4,Malone University,Colts,,
"
Sam Ehlinger",4,QB,6-1,222,23,2,Texas,Colts,,
"
Brandon Facyson",31,DB,6-2,197,27,5,Virginia Tech,Colts,,
"
Zaire Franklin",44,LB,6-0,235,25,5,Syracuse,Colts,,
"
Will Fries",75,G/T,6-6,309,24,2,Penn State,Colts,,
"
Jordan Glasgow",59,LB,6-1,226,25,3,Michigan,Colts,,
"
Kylen Granson",83,TE,6-2,242,24,2,SMU,Colts,,
"
Farrod Green",86,TE,6-3,245,24,1,Mississippi State,Colts,,
"
DeMichael Harris",12,WR,5-8,178,23,2,Southern Mississippi,Colts,,
"
Nyheim Hines",21,RB,5-9,196,25,5,North Carolina State,Colts,,
"
Deon Jackson",35,RB,6-0,218,23,2,Duke,Colts,,
"
Michael Jacobson",80,TE,6-7,244,25,1,Iowa State,Colts,,
"
Malik Jefferson",43,LB,6-2,241,25,4,Texas,Colts,,
"
Nikola Kalinic",,TE,,,25,1,York (Canada),Colts,,
"
Ryan Kelly",78,C,6-4,307,28,7,Alabama,Colts,,
"
Darius Leonard",53,LB,6-2,230,26,5,South Carolina State,Colts,,
"
Tyquan Lewis",94,DE,6-3,277,27,5,Ohio State,Colts,,
"
R.J. McIntosh",,DT,6-4,293,25,4,Miami,Colts,,
"
Kenny Moore II",23,CB,5-9,190,26,6,Valdosta State,Colts,,
"
James Morgan",9,QB,6-4,229,25,2,Florida International,Colts,,
"
Jordan Murray",,T,6-9,325,24,1,North Texas,Colts,,
"
Alexander Myres",,CB,5-11,192,25,1,Houston,Colts,,
"
Quenton Nelson",56,C/G,6-5,330,26,5,Notre Dame,Colts,,
"
Yannick Ngakoue",91,DE,6-2,246,27,7,Maryland,Colts,,
"
Carter O'Donnell",61,T,6-5,313,23,1,Alberta (Canada),Colts,,
"
Dayo Odeyingbo",54,DE,6-6,276,22,2,Vanderbilt,Colts,,
"
Bobby Okereke",58,LB,6-1,235,25,4,Stanford,Colts,,
"
Dezmon Patmon",10,WR,6-4,225,23,3,Washington State,Colts,,
"
Kwity Paye",51,DE,6-2,261,23,2,Michigan,Colts,,
"
Danny Pinter",63,G,6-4,306,25,3,Ball State,Colts,,
"
Michael Pittman Jr.",11,WR,6-4,223,24,3,USC,Colts,,
"
Matt Pryor",69,T,6-7,332,27,5,TCU,Colts,,
"
Will Redmond",29,CB,6-0,186,28,7,Mississippi State,Colts,,
"
Luke Rhodes",46,LS,6-2,238,29,6,William & Mary,Colts,,
"
Isaiah Rodgers",34,CB,5-10,170,24,3,Massachusetts,Colts,,
"
Matt Ryan",2,QB,6-4,220,36,15,Boston College,Colts,,
"
Rigoberto Sanchez",8,P,6-0,195,27,6,Hawaii,Colts,,
"
Braden Smith",72,T/G,6-6,315,26,5,Auburn,Colts,,
"
E.J. Speed",45,LB,6-3,224,26,4,Tarleton State,Colts,,
"
Grover Stewart",90,DT,6-4,315,28,6,Albany State (Ga.),Colts,,
"
Mike Strachan",17,WR,6-5,224,24,2,Charleston,Colts,,
"
Jonathan Taylor",28,RB,5-10,226,23,3,Wisconsin,Colts,,
"
Marvell Tell III",39,CB,6-2,195,25,2,Southern California,Colts,,
"
Jake Verity",,K,6-2,197,24,1,East Carolina,Colts,,
"
Armani Watts",,DB,5-11,205,26,5,Texas A&M,Colts,,
"
Chris Wilcox",40,CB,6-2,195,24,1,BYU,Colts,,
"
Chris Williams",66,DT,6-2,302,N/A,R,Wagner,Colts,,
"
Khari Willis",37,S,5-11,213,25,4,Michigan State,Colts,,
"
Eli Wolf",85,TE,6-4,238,25,1,Georgia,Colts,,
"
Brandon Aiyuk",11,WR,6-0,200,24,3,Arizona State,49ers,,
"
Azeez Al-Shaair",51,LB,6'2,228,24,4,Florida Atlantic,49ers,,
"
Arik Armstead",91,DL,6-7,290,28,8,Oregon,49ers,,
"
Aaron Banks",65,OL,6-5,325,24,2,Notre Dame,49ers,,
"
Alex Barrett",58,DL,6-2,250,28,2,San Diego State,49ers,,
"
Nick Bosa",97,DL,6-4,266,24,4,Ohio State,49ers,,
"
Jake Brendel",64,OL,6-4,299,29,4,UCLA,49ers,,
"
Daniel Brunskill",60,OL,6-5,300,28,4,San Diego State,49ers,,
"
Oren Burks",,LB,6-3,233,27,5,Vanderbilt,49ers,,
"
Darqueze Dennard",43,CB,5-11,202,30,8,Michigan State,49ers,,
"
Ross Dwelley",82,TE,6-5,235,27,5,San Diego,49ers,,
"
Samson Ebukam",56,DL,6-3,245,26,6,Eastern Washington,49ers,,
"
Demetrius Flannigan-Fowles",45,LB,6-2,223,25,3,Arizona,49ers,,
"
Dee Ford",55,DL,6-2,252,31,9,Auburn,49ers,,
"
Jimmy Garoppolo",10,QB,6-2,225,30,9,Eastern Illinois,49ers,,
"
Kevin Givens",90,DL,6-1,285,25,3,Penn State,49ers,,
"
Robbie Gould",9,K,6-0,190,39,18,Penn State,49ers,,
"
Dre Greenlaw",57,LB,6-0,230,24,4,Arkansas,49ers,,
"
Alfredo Gutierrez",77,OL,6-9,332,26,1,Tecnológico de Monterrey,49ers,,
"
JaMycal Hasty",23,RB,5-8,205,25,3,Baylor,49ers,,
"
Josh Hokit",40,FB,6-1,225,24,1,Fresno State,49ers,,
Ka'dar Hollman,,CB,6-0,196,27,3,Toledo,49ers,,
"
Tanner Hudson",84,TE,6-5,239,27,3,Southern Arkansas,49ers,,
"
Talanoa Hufanga",29,S,6-0,200,23,2,USC,49ers,,
"
Maurice Hurst",96,DL,6-2,291,26,5,Michigan,49ers,,
"
Kerry Hyder Jr.",92,DL,6-2,275,30,7,Texas Tech,49ers,,
"
Jauan Jennings",15,WR,6-3,212,24,2,Tennessee,49ers,,
"
Dontae Johnson",27,CB,6-2,200,30,9,North Carolina State,49ers,,
KeeSean Johnson,,WR,6-1,201,25,3,Fresno State,49ers,,
"
Kyle Juszczyk",44,FB,6-1,235,30,10,Harvard,49ers,,
"
Javon Kinlaw",99,DT,6-5,319,24,3,South Carolina,49ers,,
"
George Kittle",85,TE,6-4,250,28,6,Iowa,49ers,,
"
Trey Lance",5,QB,6-4,224,21,2,North Dakota State,49ers,,
"
Deommodore Lenoir",38,DB,5-10,200,22,2,Oregon,49ers,,
"
Austin Mack",86,WR,6-2,215,24,2,Ohio State,49ers,,
"
Alex Mack",50,C,6-4,311,36,14,California-Berkeley,49ers,,
"
Jordan Matthews",88,TE,6-3,236,29,7,Vanderbilt,49ers,,
"
Ray-Ray McCloud",,WR,5-9,190,25,5,Clemson,49ers,,
"
Mike McGlinchey",69,T,6-8,310,27,5,Notre Dame,49ers,,
"
Colton McKivitz",68,OL,6-6,301,25,3,West Virginia,49ers,,
"
Elijah Mitchell",25,RB,5-10,200,23,2,Louisiana,49ers,,
"
Jaylon Moore",76,OL,6-4,311,24,2,Western Michigan,49ers,,
"
Tarvarius Moore",33,DB,6-2,200,25,5,Southern Mississippi,49ers,,
"
Emmanuel Moseley",4,CB,5-11,190,26,5,Tennessee,49ers,,
"
George Odum",,DB,6-1,202,28,5,Central Arkansas,49ers,,
"
Charles Omenihu",92,DE,6-5,280,24,4,Texas,49ers,,
"
Taybor Pepper",46,LS,6-4,245,27,5,Michigan State,49ers,,
"
Hassan Ridgeway",,DT,6-3,305,27,7,Texas,49ers,,
"
Curtis Robinson",59,LB,6-3,235,23,2,Stanford,49ers,,
"
Deebo Samuel",19,WR,6-0,215,26,4,South Carolina,49ers,,
"
Trey Sermon",28,RB,6-0,215,23,2,Ohio State,49ers,,
"
Justin Skule",67,OL,6-6,315,25,4,Vanderbilt,49ers,,
"
Chris Slayton",78,DT,6-4,316,25,1,Syracuse,49ers,,
"
Nate Sudfeld",7,QB,6-6,227,28,6,Indiana,49ers,,
Keaton Sutherland,,OL,6-5,315,25,3,Texas A&M,49ers,,
"
Ambry Thomas",20,CB,6-0,190,22,2,Michigan,49ers,,
"
Charvarius Ward",,CB,6-1,196,25,5,Middle Tennessee State,49ers,,
"
Jimmie Ward",1,DB,5-11,195,30,9,Northern Illinois,49ers,,
"
Fred Warner",54,LB,6-3,230,25,5,BYU,49ers,,
"
Connor Wedington",83,WR,6-0,200,22,1,Stanford,49ers,,
"
Trent Williams",71,T,6-5,320,33,12,Oklahoma,49ers,,
"
Jordan Willis",94,DL,6-4,270,26,6,Kansas State,49ers,,
"
Jeff Wilson Jr.",22,RB,6-0,213,26,5,North Texas,49ers,,
"
Mitch Wishnowsky",18,P,6-2,220,30,4,Utah,49ers,,
"
Charlie Woerner",89,TE,6-5,241,24,3,Georgia,49ers,,
"
Ugo Amadi",28,FS,5-9,201,24,4,Oregon,Seahawks,,
"
Blessuan Austin",36,DB,6-1,198,25,4,Rutgers,Seahawks,,
"
Cody Barton",57,LB,6-2,237,25,4,Utah,Seahawks,,
"
Nick Bellore",44,LB,6-1,250,32,12,Central Michigan,Seahawks,,
"
Austin Blythe",,G,6-2,298,29,7,Iowa,Seahawks,,
"
Jordyn Brooks",56,LB,6-0,240,24,3,Texas Tech,Seahawks,,
"
Duane Brown",76,T,6-4,315,36,15,Virginia Tech,Seahawks,,
"
Artie Burns",,CB,6-0,197,26,7,Miami,Seahawks,,
"
Justin Coleman",,CB,5-11,190,29,8,Tennessee,Seahawks,,
"
L.J. Collier",91,DE,6-2,291,26,4,TCU,Seahawks,,
"
Jake Curhan",74,OT,6-6,316,24,2,California,Seahawks,,
"
DeeJay Dallas",31,RB,5-10,214,23,3,Miami (Fla.),Seahawks,,
"
Michael Dickson",4,P,6-2,208,26,5,Texas,Seahawks,,
"
Quandre Diggs",6,FS,5-9,197,29,8,Texas,Seahawks,,
"
Will Dissly",89,TE,6-4,265,25,5,Washington,Seahawks,,
"
Jacob Eason",17,QB,6-6,231,24,3,Washington,Seahawks,,
"
Dee Eskridge",1,WR,5-9,190,25,2,Western Michigan,Seahawks,,
"
Noah Fant",87,TE,6-4,249,24,4,Iowa,Seahawks,,
"
Poona Ford",97,DT,5-11,310,26,5,Texas,Seahawks,,
"
Stone Forsythe",78,OT,6-8,307,24,2,Florida,Seahawks,,
"
Kyle Fuller",61,C/G,6-5,320,28,4,Baylor,Seahawks,,
"
Rasheem Green",94,DE,6-4,279,24,5,USC,Seahawks,,
"
Shelby Harris",,DE,6-2,288,30,8,Illinois State,Seahawks,,
"
Penny Hart",19,WR,5-8,180,25,3,Georgia State,Seahawks,,
"
Phil Haynes",60,G,6-4,322,26,4,Wake Forest,Seahawks,,
"
Travis Homer",25,RB,5-10,202,23,4,Miami,Seahawks,,
"
Joel Iyiegbuniwe",,LB,6-1,230,26,5,Western Kentucky,Seahawks,,
"
Gabe Jackson",66,G,6-3,335,30,9,Mississippi State,Seahawks,,
"
Quinton Jefferson",,DT,6-4,291,29,7,Maryland,Seahawks,,
"
Josh Johnson",34,RB,5-9,209,24,1,Louisiana-Monroe,Seahawks,,
"
Sidney Jones IV",23,CB,6-0,181,25,5,Washington,Seahawks,,
"
Damien Lewis",68,G,6-2,327,25,3,LSU,Seahawks,,
"
Drew Lock",2,QB,6-4,228,25,4,Missouri,Seahawks,,
"
Tyler Lockett",16,WR,5-10,182,29,8,Kansas State,Seahawks,,
"
Tyler Mabry",85,TE,6-3,247,25,2,Maryland,Seahawks,,
"
DK Metcalf",14,WR,6-4,235,24,4,Ole Miss,Seahawks,,
"
Bryan Mone",90,DT,6-3,345,26,3,Michigan,Seahawks,,
"
Tanner Muse",58,LB,6-2,227,25,3,Clemson,Seahawks,,
"
Jason Myers",5,K,5-10,190,30,8,Marist,Seahawks,,
"
Ryan Neal",26,SS,6-3,200,26,3,Southern Illinois,Seahawks,,
"
Robert Nkemdiche",92,DT,6-3,296,27,5,Mississippi,Seahawks,,
"
Uchenna Nwosu",,LB,6-2,251,25,5,USC,Seahawks,,
"
Tyler Ott",69,LS,6-3,253,30,8,Harvard,Seahawks,,
"
Colby Parkinson",84,TE,6-7,251,23,3,Stanford,Seahawks,,
"
Rashaad Penny",20,RB,5-11,220,26,5,San Diego St.,Seahawks,,
"
John Reid",29,CB,5-10,187,25,3,Penn State,Seahawks,,
"
Alton Robinson",98,DE,6-3,259,23,3,Syracuse,Seahawks,,
"
Dakoda Shepley",64,C,6-5,290,27,2,University of British Columbia,Seahawks,,
"
Geno Smith",7,QB,6-3,221,31,10,West Virginia,Seahawks,,
"
Freddie Swain",18,WR,6-0,199,23,3,Florida,Seahawks,,
"
Darrell Taylor",52,DE,6-4,267,25,2,Tennessee,Seahawks,,
"
Nigel Warrior",39,CB,6-1,197,24,2,Tennessee,Seahawks,,
"
Al Woods",99,DT,6-4,330,35,12,LSU,Seahawks,,
"
Myles Adams",67,DT,6-2,290,24,1,Rice,Seahawks,,
"
Matt Cole",87,WR,5-10,197,25,1,McKendree,Seahawks,,
"
Aaron Donkor",43,LB,6-1,240,27,1,Arkansas State,Seahawks,,
"
Greg Eiland",75,T,6-8,321,24,1,Mississippi State,Seahawks,,
"
Aaron Fuller",13,WR,5-11,188,24,1,Washington,Seahawks,,
"
Jarrod Hewitt",62,DT,6-1,290,24,1,Virginia Tech,Seahawks,,
"
Mike Jackson",30,CB,6-1,210,25,2,Miami,Seahawks,,
"
Cade Johnson",88,WR,5-10,184,24,1,South Dakota State,Seahawks,,
"
Pier-Olivier Lestage",62,G,6-3,312,24,1,Montreal,Seahawks,,
"
Niles Scott",79,NT,6-3,280,26,3,Frostburg State,Seahawks,,
"
Alex Tchangam",58,DE,6-3,245,24,1,Colorado,Seahawks,,
"
Cody Thompson",11,WR,6-2,205,26,1,Toledo,Seahawks,,
"
Darwin Thompson",,RB,5-8,200,25,3,Utah State,Seahawks,,
"
Lakiem Williams",47,LB,5-11,220,24,1,Syracuse,Seahawks,,
"
Jamal Adams",33,SS,6-1,213,26,5,LSU,Seahawks,,
"
Marquise Blair",27,FS,6-1,196,24,4,Utah,Seahawks,,
"
Tre Brown",22,CB,5-10,185,24,2,Oklahoma,Seahawks,,
"
Ben Burr-Kirven",55,LB,6-0,230,24,4,Washington,Seahawks,,
"
Chris Carson",32,RB,5-11,222,27,6,Oklahoma State,Seahawks,,
"
Alex Collins",41,RB,5-10,210,27,5,Arkansas,Seahawks,,
"
Gavin Heslop",38,CB,6-0,197,24,2,Stony Brook,Seahawks,,
"
Adrian Peterson",21,RB,6-1,217,N/A,R,Oklahoma,Seahawks,,
"
Jon Rhattigan",59,LB,6-0,236,23,2,Army,Seahawks,,
"
Brandon Shell",72,T,6-5,324,30,7,South Carolina,Seahawks,,
"
John Ursua",15,WR,5-9,182,28,3,Hawaii,Seahawks,,
"
Marcus Webb",48,DE,6-2,247,24,2,Troy,Seahawks,,
Cam Akers,23,RB,5-10,217,22,2,Florida State,Rams,,
"
Brian Allen",55,OL,6-2,303,26,5,Michigan State,Rams,,
"
Tremayne Anchrum Jr.",72,OL,6-2,314,23,3,Clemson,Rams,,
"
Odell Beckham Jr.",3,WR,5-11,198,29,9,LSU,Rams,,
"
Kendall Blanton",86,TE,6-6,262,26,2,Missouri,Rams,,
"
Bobby Brown III",95,DL,6-4,235,21,2,Texas A&M,Rams,,
"
Terrell Burgess",26,S,5-11,202,24,3,Utah,Rams,,
"
Marquise Copeland",93,DL,6-2,287,24,2,Cincinnati,Rams,,
Blake Countess,36,CB,5-9,184,N/A,R,Auburn,Rams,,
"
Dont'e Deayon",21,CB,5-9,159,28,5,Boise State,Rams,,
"
Riley Dixon",,P,6-4,221,28,7,Syracuse,Rams,,
"
Aaron Donald",99,DL,6-1,280,30,9,Pittsburgh,Rams,,
"
David Edwards",73,OL,6-6,308,25,4,Wisconsin,Rams,,
"
Bobby Evans",71,OL,6-4,312,25,4,Oklahoma,Rams,,
"
Leonard Floyd",54,OLB,6-5,240,29,7,Georgia,Rams,,
"
Jake Funk",34,RB,5-10,205,24,2,Maryland,Rams,,
"
Greg Gaines",91,DL,6-1,312,25,4,Washington,Rams,,
"
Chris Garrett",48,OLB,6-4,245,23,2,Concordia College St. Paul,Rams,,
"
Matt Gay",8,K,6-0,232,28,4,Utah,Rams,,
"
Jake Gervase",39,S,6-1,212,26,2,Iowa,Rams,,
Grant Haley,46,DB,5-9,190,26,3,Penn State,Rams,,
"
Rob Havenstein",79,OL,6-8,330,29,8,Wisconsin,Rams,,
"
Darrell Henderson Jr.",27,RB,5-8,208,24,4,Memphis,Rams,,
"
Michael Hoecht",96,DL,6-4,310,24,2,Brown,Rams,,
"
Justin Hollins",58,LB,6-5,248,26,4,Oregon,Rams,,
"
Brycen Hopkins",88,TE,6-4,245,25,3,Purdue,Rams,,
"
Travin Howard",32,ILB,6-1,219,25,4,TCU,Rams,,
Buddy Howell,38,RB,6-1,225,26,5,Florida Atlantic,Rams,,
"
AJ Jackson",68,OL,6-7,285,23,2,Iowa,Rams,,
"
Van Jefferson",12,WR,6-1,200,25,3,Florida,Rams,,
"
Ernest Jones",50,LB,6-2,230,22,2,South Carolina,Rams,,
"
Cooper Kupp",10,WR,6-2,208,28,6,Eastern Washington,Rams,,
"
Terrell Lewis",52,OLB,6-5,262,23,3,Alabama,Rams,,
"
David Long Jr.",22,CB,5-11,196,24,4,Michigan,Rams,,
"
Sony Michel",25,RB,5-11,215,27,5,Georgia,Rams,,
"
Matthew Orzech",42,LS,6-3,245,27,3,Azusa Pacific,Rams,,
"
Bryce Perkins",16,QB,6-3,214,25,2,Virginia,Rams,,
"
Brandon Powell",19,WR,5-8,181,26,5,Florida,Rams,,
"
Jalen Ramsey",5,DB,6-2,208,27,7,Florida State,Rams,,
"
Taylor Rapp",24,S,6-0,208,24,4,Washington,Rams,,
"
Troy Reeder",51,ILB,6-3,245,27,4,Delaware,Rams,,
"
A'Shawn Robinson",94,DL,6-4,330,27,7,Alabama,Rams,,
"
Allen Robinson II",1,WR,6-2,210,28,9,Penn State,Rams,,
"
Christian Rozeboom",56,LB,6-2,230,25,2,South Dakota State,Rams,,
"
Nick Scott",33,S,5-11,201,26,4,Penn State,Rams,,
"
Coleman Shelton",65,OL,6-4,299,26,4,Washington,Rams,,
"
Ben Skowronek",18,WR,6-3,224,24,2,Notre Dame,Rams,,
"
Matthew Stafford",9,QB,6-3,220,34,14,Georgia,Rams,,
"
Bobby Wagner",45,LB,6-0,241,31,11,Utah State,Rams,,
"
Andrew Whitworth",77,OL,6-7,330,40,17,LSU,Rams,,
"
John Wolford",13,QB,6-1,216,26,3,Wake Forest,Rams,,
"
Landen Akers",84,WR,6-0,191,24,1,Iowa State,Rams,,
"
Chandler Brewer",67,OL,6-6,320,24,2,Middle Tennessee State,Rams,,
Antoine Brooks Jr.,39,LB,5-11,210,24,3,Maryland,Rams,,
"
Earnest Brown IV",90,DL,6-5,270,23,1,Northwestern,Rams,,
Adrian Ealy,,OT,6-6,321,22,1,Oklahoma,Rams,,
Tyler Hall,37,DB,5-10,190,23,2,Wyoming,Rams,,
Javian Hawkins,14,RB,5-9,196,22,1,Louisville,Rams,,
Anthony Hines III,57,LB,6-3,226,23,1,Texas A&M,Rams,,
Warren Jackson,83,WR,6-6,219,22,1,Colorado State,Rams,,
"
Jeremiah Kolone",60,OL,6-3,316,27,1,San Jose State,Rams,,
"
J.J. Koski",17,WR,6-1,195,25,1,Cal Poly,Rams,,
Kyle Markway,47,TE,6-4,250,25,1,South Carolina,Rams,,
"
Kareem Orr",35,DB,5-11,195,25,2,Tennessee-Chattanooga,Rams,,
"
Max Pircher",66,OL,6-7,300,22,1,Italy,Rams,,
"
Jonah Williams",92,DL,6-5,275,26,2,Weber State,Rams,,
"
Tutu Atwell",15,WR,5-9,165,22,2,Louisville,Rams,,
"
Raymond Calais",30,RB,5-8,188,24,3,Louisiana-Lafayette,Rams,,
"
Jamil Demby",64,OL,6-5,321,25,3,Maine,Rams,,
"
Jordan Fuller",4,S,6-2,203,24,3,Ohio State,Rams,,
"
Jacob Harris",87,TE,6-5,211,24,2,UCF,Rams,,
"
Tyler Higbee",89,TE,6-6,255,29,7,Western Kentucky,Rams,,
"
Johnny Mundt",82,TE,6-4,233,27,5,Oregon,Rams,,
"
Joe Noteboom",70,OL,6-5,321,26,5,TCU,Rams,,
"
Zach Allen",94,DE,6-4,281,24,4,Boston College,Cardinals,,
"
Stephen Anderson",,TE,6-2,230,29,5,California,Cardinals,,
"
Andre Baccellia",82,WR,5-10,175,25,1,Washington,Cardinals,,
"
Budda Baker",3,S,5-10,195,26,6,Washington,Cardinals,,
"
Kelvin Beachum",68,OL,6-3,308,32,11,Southern Methodist,Cardinals,,
"
Eno Benjamin",26,RB,5-9,207,23,3,Arizona State,Cardinals,,
"
Breon Borders",21,CB,6-0,189,26,4,Duke,Cardinals,,
"
Aaron Brewer",46,LS,6-5,232,31,11,San Diego State,Cardinals,,
"
Nate Brooks",37,CB,6-0,192,N/A,R,Miami,Cardinals,,
"
Zaven Collins",25,ILB,6-4,260,22,2,Tulsa,Cardinals,,
"
James Conner",6,RB,6-1,233,26,6,Pittsburgh,Cardinals,,
Nolan Cooney,,P,6-3,202,25,1,Syracuse,Cardinals,,
"
Matt Dickerson",56,DE,6-5,292,26,4,UCLA,Cardinals,,
"
Victor Dimukeje",52,OLB,6-2,265,22,2,Duke,Cardinals,,
"
Michael Dogbe",91,DE,6-3,295,25,3,Temple,Cardinals,,
"
Greg Dortch",83,WR,5-7,175,23,2,Wake Forest,Cardinals,,
"
Alex Ellis",36,TE,6-4,240,29,3,Tennessee,Cardinals,,
"
Zach Ertz",86,TE,6-5,250,31,10,Stanford,Cardinals,,
"
Leki Fotu",95,DT,6-5,330,23,3,Utah,Cardinals,,
"
Dennis Gardeck",45,OLB,6-0,232,27,5,Sioux Falls,Cardinals,,
Jeff Gladney,,CB,5-10,191,25,2,TCU,Cardinals,,
"
Markus Golden",44,OLB,6-3,260,31,8,Missouri,Cardinals,,
"
Javon Hagan",32,S,6-0,215,25,1,Ohio,Cardinals,,
"
Sean Harlow",64,OL,6-4,284,27,3,Oregon State,Cardinals,,
"
Marcus Henry",53,OL,6-2,303,29,2,Boise State,Cardinals,,
"
Will Hernandez",,OL,6-2,335,26,5,Texas-El Paso,Cardinals,,
"
DeAndre Hopkins",10,WR,6-1,212,29,9,Clemson,Cardinals,,
"
Rodney Hudson",61,OL,6-2,315,32,12,Florida State,Cardinals,,
"
D.J. Humphries",74,OL,6-5,307,28,8,Florida,Cardinals,,
"
Andy Isabella",17,WR,5-9,188,25,4,Massachusetts,Cardinals,,
"
Danny Isidora",63,OL,6-3,306,27,4,Miami,Cardinals,,
"
Josh Jones",79,OL,6-5,319,24,3,Houston,Cardinals,,
"
Devon Kennard",42,OLB,6-3,256,30,9,USC,Cardinals,,
"
Rashard Lawrence",90,DT,6-2,308,23,3,LSU,Cardinals,,
"
Jonathan Ledbetter",93,DE,6-4,280,24,2,Georgia,Cardinals,,
"
Andy Lee",14,P,6-1,185,39,19,Pittsburgh,Cardinals,,
"
Koda Martin",60,OL,6-7,300,26,2,Syracuse,Cardinals,,
"
Colt McCoy",12,QB,6-1,212,35,13,Texas,Cardinals,,
"
Trace McSorley",19,QB,6-0,202,26,4,Penn State,Cardinals,,
"
Joshua Miles",66,OL,6-5,314,26,4,Morgan State,Cardinals,,
"
Rondale Moore",4,WR,5-7,180,21,2,Purdue,Cardinals,,
"
Byron Murphy Jr.",7,CB,5-11,190,24,4,Washington,Cardinals,,
"
Justin Murray",71,OL,6-5,315,28,5,Cincinnati,Cardinals,,
"
Kyler Murray",1,QB,5-10,207,24,4,Oklahoma,Cardinals,,
"
Matt Prater",5,K,5-10,201,37,16,UCF,Cardinals,,
"
Justin Pugh",67,OL,6-5,311,31,10,Syracuse,Cardinals,,
"
Jaylen Samuels",,RB,6-0,225,25,4,N.C. State,Cardinals,,
"
Bernhard Seikovits",80,TE,6-5,262,24,1,Austria,Cardinals,,
"
Isaiah Simmons",9,ILB,6-4,238,23,3,Clemson,Cardinals,,
"
Eric Smith",72,OT,6-4,321,26,3,Virginia,Cardinals,,
"
Deionte Thompson",22,S,6-1,195,25,4,Alabama,Cardinals,,
"
Jalen Thompson",34,S,5-11,190,23,4,Washington State,Cardinals,,
"
Ezekiel Turner",47,ILB,6-2,214,25,5,Washington,Cardinals,,
"
Tanner Vallejo",51,ILB,6-1,230,27,6,Boise State,Cardinals,,
